AC voltage grade,Rated power(VA),Battery voltage,Inverter voltage,Grid voltage,BUS voltage,Control current,Inverter current,Grid current,Battery voltage,PInverter,PGrid,PLoad,Load percent,SInverter,SGrid,Sload,Qinverter,Qgrid,Qload,Inverter frequency,Grid frequency,Inverter max number,Combine type,Inverter number,AC radiator temperature,Transformer temperature,DC radiator temperature,Batt power,Batt current,Batt voltage grade,Rated power(W),Communication Protocal Edition,PV voltage,Battery voltage,Charger current,Charger power,Radiator temperature,External temperature,BattVol Grade,Rated Current,MachineType,SerialNumber,Hardware,Software,ProtocalEdition,WorkState,InverterRelayState,GridRelayState,LoadRelayState,NLineRelayState,DcRelayState,EarthRelayState,AccumulatedChargerPower,AccumulatedDischargerPower,AccumulatedBuyPower,AccumulatedSellPower,AccumulatedLoadPower,AccumulatedSelfusePower,AccumulatedPvsellPower,AccumulatedGridChargerPower,Errs,ChrWorkstate,MpptState,ChargingState,BatteryRelay,PvRelay,ChrHardware,ChrSoftware,AccumulatedPvPower,Id,RecordTime,
230,3000,27.4,0,220.2,444.5,0,0,2.6,2.6,0,424,425,14,0,571,569,0,382,382,50.01,50.01,0,0,0,47,0,0,0,0,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,40.3KWH,374.9KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,68.7KWH,11,01/09/2020 07:33:21 p.m.,
230,3000,27.3,0,220.2,443.8,0,0,2.8,2.8,0,460,459,15,0,615,613,0,408,409,50,50,0,0,0,46,0,0,0,0,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,40.7KWH,374.9KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,68.7KWH,12,01/09/2020 08:33:21 p.m.,
230,3000,27.4,0,224.5,444.1,0,0,2.6,2.6,0,437,437,14,0,584,582,0,386,386,50.03,50.03,0,0,0,44,0,0,0,0,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,41.2KWH,374.9KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,68.7KWH,13,01/09/2020 09:33:21 p.m.,
230,3000,27.4,0,219.6,444.2,0,0,2.2,2.2,0,374,374,12,0,502,500,0,334,334,50.03,50.03,0,0,0,44,0,0,0,0,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,41.7KWH,374.9KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,68.7KWH,14,01/09/2020 10:33:21 p.m.,
230,3000,27.4,0,221.7,444.6,0,0,2.2,2.2,0,340,340,11,0,487,485,0,348,348,50.03,50.03,0,0,0,43,0,0,0,0,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,42.1KWH,374.9KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,68.7KWH,15,01/09/2020 11:33:21 p.m.,
230,3000,27.4,0,225.4,444.7,0,0,2.1,2.1,0,315,315,10,0,472,467,0,351,347,50.02,50.02,0,0,0,43,0,0,0,0,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,42.5KWH,374.9KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,68.7KWH,16,02/09/2020 12:33:21 a.m.,
230,3000,27.4,0,229.5,444.9,0,0,1.8,1.8,0,270,270,8,0,429,425,0,333,329,50.01,50.01,0,0,0,43,0,0,0,0,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,42.8KWH,374.9KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,68.7KWH,17,02/09/2020 01:33:21 a.m.,
230,3000,27.3,0,230.3,443.8,0,0,2.2,2.2,0,410,410,13,0,506,504,0,296,296,50.01,50.01,0,0,0,42,0,0,0,0,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,43.1KWH,374.9KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,68.7KWH,18,02/09/2020 02:33:21 a.m.,
230,3000,27.3,0,231.3,443.6,0,0,1.5,1.5,0,216,217,7,0,347,344,0,270,270,50.13,50.13,0,0,0,40,0,0,0,0,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,43.4KWH,374.9KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,68.7KWH,19,02/09/2020 03:33:22 a.m.,
230,3000,27.4,0,232.7,443.8,0,0,2,2,0,388,387,12,0,463,461,0,253,254,50.04,50.04,0,0,0,40,0,0,0,0,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,43.6KWH,374.9KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,68.7KWH,20,02/09/2020 04:33:22 a.m.,
230,3000,27.3,0,232.6,443.8,0,0,1.4,1.4,0,217,217,7,0,328,328,0,244,248,49.98,49.98,0,0,0,40,0,0,0,0,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,43.9KWH,374.9KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,68.7KWH,21,02/09/2020 05:33:22 a.m.,
230,3000,27.3,0,231.4,443.9,0,0,1.4,1.4,0,216,215,7,0,326,323,0,243,244,50.01,50.01,0,0,0,39,0,0,0,0,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,44.1KWH,374.9KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,68.7KWH,22,02/09/2020 06:33:22 a.m.,
230,3000,26.5,0,230.1,433.1,0,0,1.4,1.4,0,210,210,6,0,322,319,0,243,243,50.01,50.01,0,0,0,40,0,0,-10,0,24,3000,10414,30.8,26.6,0.4,13,35,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,44.4KWH,374.9KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,68.7KWH,23,02/09/2020 07:33:23 a.m.,
230,3000,26.6,0,226,433.2,0,0,1.4,1.4,0,206,206,6,0,321,315,0,246,242,50.03,50.03,0,0,0,41,0,0,-13,0,24,3000,10414,30.8,26.7,0.5,13,39,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,44.7KWH,374.9KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,68.8KWH,24,02/09/2020 08:33:23 a.m.,
230,3000,27.2,0,227.7,440,0,0,2.1,2.1,0,373,373,12,0,494,489,0,323,318,50.01,50.01,0,0,0,36,0,0,-32,-1,24,3000,10414,82.5,27.4,1.2,32,40,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,45.1KWH,374.9KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,68.8KWH,25,02/09/2020 09:33:23 a.m.,
230,3000,27.3,0,226,440.2,0,0,2.1,2.1,0,369,369,12,0,477,475,0,301,301,50.01,50.01,0,0,0,33,0,0,-31,-1,24,3000,10414,83.5,27.4,1.1,31,40,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,45.5KWH,374.9KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,68.8KWH,26,02/09/2020 10:33:23 a.m.,
230,3000,27.2,0,226.1,441,0,0,2.1,2.1,0,366,365,12,0,480,475,0,305,305,50.01,50.01,0,0,0,34,0,0,-32,-1,24,3000,10414,83.1,27.4,1.2,32,41,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,45.9KWH,374.9KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,68.8KWH,27,02/09/2020 11:33:23 a.m.,
230,3000,26.9,0,232.3,439.4,0,0,1.2,1.2,0,153,152,4,0,278,275,0,232,232,50.01,50.01,0,0,0,35,0,0,-22,0,24,3000,10414,85.6,27.5,0.8,22,41,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,46.2KWH,374.9KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,68.9KWH,28,02/09/2020 12:33:23 p.m.,
230,3000,27.3,0,233.6,439.7,0,0,1.6,1.6,0,283,283,9,0,373,370,0,242,242,49.97,49.97,0,0,0,33,0,0,-33,-1,24,3000,10414,83.4,27.4,1.1,32,40,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,46.4KWH,374.9KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,68.9KWH,29,02/09/2020 01:33:23 p.m.,
230,3000,27.3,0,229.6,439.6,0,0,1,1,0,128,128,4,0,229,225,0,189,189,50.01,50.01,0,0,0,32,0,0,-33,-1,24,3000,10414,82.8,27.4,1.2,33,39,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,46.5KWH,374.9KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,68.9KWH,30,02/09/2020 02:33:24 p.m.,
230,3000,27.3,0,230.7,439.7,0,0,1,1,0,124,124,4,0,233,229,0,196,196,49.97,49.97,0,0,0,32,0,0,-31,-1,24,3000,10414,75.9,27.4,1.2,34,39,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,46.6KWH,374.9KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,69KWH,31,02/09/2020 03:33:24 p.m.,
230,3000,27.2,0,230.5,439.1,0,0,2.2,2.2,0,408,407,13,0,526,524,0,332,332,50.02,50.02,0,0,0,33,0,0,-32,-1,24,3000,10414,77,27.4,1.2,32,38,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,46.9KWH,374.9KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,69KWH,32,02/09/2020 04:33:24 p.m.,
230,3000,26.6,0,231.5,432.3,0,0,2.4,2.4,0,434,435,14,0,558,558,0,348,353,49.98,49.98,0,0,0,37,0,0,-27,-1,24,3000,10414,30.8,26.6,1,27,38,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,47.4KWH,374.9KWH,0KWH,0KWH,,Work Mode,MPPT, Float charge,Connect,Connect,1.02.02,1.16.29,69KWH,33,02/09/2020 05:33:24 p.m.,
230,3000,26.6,0,229.7,434.1,0,0,1,1,0,118,118,3,0,229,225,0,195,195,50.01,50.01,0,0,0,38,0,0,-10,0,24,3000,10414,30.8,26.6,0.3,10,38,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,47.7KWH,374.9KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,69KWH,34,03/09/2020 12:12:35 a.m.,
230,3000,27.4,0,229.5,444.6,0,0,1,1,0,128,129,4,0,229,225,0,188,188,49.99,49.99,0,0,0,38,0,0,0,0,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,48.4KWH,374.9KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,69KWH,35,03/09/2020 09:06:39 a.m.,
230,3000,27,0,226.5,437.9,0,0,2.4,2.4,0,432,433,14,0,546,544,0,332,332,49.96,49.96,0,0,0,32,0,0,-32,-1,24,3000,10414,85.5,27.5,0.6,17,38,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,50.1KWH,374.9KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,69.1KWH,36,03/09/2020 10:06:46 a.m.,
230,3000,27.1,0,224.7,438.9,0,0,2.2,2.2,0,395,395,13,0,507,505,0,316,316,49.97,49.97,0,0,0,33,0,0,-24,0,24,3000,10414,88.8,27.3,0.9,26,38,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,50.6KWH,374.9KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,69.1KWH,37,03/09/2020 11:06:46 a.m.,
230,3000,23.4,229.9,225.5,362,2.5,2.3,0,2.3,349,0,350,11,574,0,545,455,0,455,50,50.03,0,0,0,34,0,0,126,5,24,3000,10414,73.4,23.7,12.9,307,42,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,375KWH,0KWH,0KWH,51KWH,375KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,69.2KWH,38,03/09/2020 12:06:46 p.m.,
230,3000,24.6,230,229.3,382.9,1.1,0.7,0,0.7,90,0,89,2,253,0,177,236,0,236,50,49.96,0,0,0,31,0,0,-23,0,24,3000,10414,73.8,24.9,6.8,171,34,-53,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,375.2KWH,0KWH,0KWH,51.3KWH,375.2KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,69.4KWH,39,03/09/2020 01:06:46 p.m.,
230,3000,27.2,230,230.7,423.7,1.2,0.9,0,0.9,90,0,90,2,284,0,219,269,0,269,50,50.05,0,0,0,41,0,0,0,0,24,3000,10414,80.4,27.4,5.4,148,44,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,375.3KWH,0KWH,0KWH,51.4KWH,375.3KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,69.6KWH,40,03/09/2020 02:06:46 p.m.,
230,3000,27.2,229.9,229.4,423.7,1.2,0.9,0,0.9,90,0,90,2,296,0,230,281,0,278,50,49.96,0,0,0,42,0,0,4,0,24,3000,10414,83.7,27.4,5.4,144,44,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,375.4KWH,0KWH,0KWH,51.4KWH,375.4KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,69.7KWH,41,03/09/2020 03:06:46 p.m.,
230,3000,27.3,0,231.9,435.4,0,0,1.6,1.5,0,277,277,9,0,367,364,0,241,241,50.02,50.02,0,0,0,35,0,0,-38,-1,24,3000,10414,85.2,27.4,1.4,38,44,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,375.5KWH,0KWH,0KWH,51.7KWH,375.5KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,69.8KWH,42,03/09/2020 04:06:47 p.m.,
230,3000,27.2,0,227.4,445.1,0,0,1.9,1.9,0,302,302,10,0,431,429,0,306,306,50,50,0,0,0,35,0,0,-12,0,24,3000,10414,82.8,27.4,0.4,11,45,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,375.5KWH,0KWH,0KWH,52KWH,375.5KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,69.9KWH,43,03/09/2020 05:06:47 p.m.,
230,3000,26.6,0,229.9,433.8,0,0,2.4,2.4,0,393,393,13,0,551,549,0,386,386,49.98,49.98,0,0,0,40,0,0,-10,0,24,3000,10414,30.7,26.6,0.1,10,41,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,375.5KWH,0KWH,0KWH,52.4KWH,375.5KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,69.9KWH,44,03/09/2020 06:06:47 p.m.,
230,3000,26.6,0,226.4,434.1,0,0,1,1.1,0,122,122,4,0,240,236,0,206,206,49.98,49.98,0,0,0,41,0,0,0,0,24,3000,10414,30.7,26.6,0,0,41,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,375.5KWH,0KWH,0KWH,52.6KWH,375.5KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,69.9KWH,45,04/09/2020 12:38:32 a.m.,
